(Burst #:Message #),NTP Timestamp
(0:0),3856050303.5155816
(0:1),3856050303.521171
(0:2),3856050303.530707
(0:3),3856050303.5362983
(0:4),3856050303.6170707
(0:5),3856050303.6171045
(0:6),3856050303.63113
(0:7),3856050303.631393
(10:0),3856050343.3494997
(10:1),3856050343.3495903
(10:2),3856050343.3620057
(10:3),3856050343.3617215
(10:4),3856050343.45213
(10:5),3856050343.4517846
(10:6),3856050343.466
(10:7),3856050343.4660926
(11:0),3856050347.3838453
(11:1),3856050347.382861
(11:2),3856050347.5452237
(11:3),3856050347.5511417
(11:4),3856050347.5661674
(11:5),3856050347.5709267
(11:6),3856050347.667033
(11:7),3856050347.666776
(12:0),3856050351.453445
(12:1),3856050351.4535623
(12:2),3856050351.644832
(12:3),3856050351.6812587
(12:4),3856050351.686739
(12:5),3856050351.6868405
(12:6),3856050351.705681
(12:7),3856050351.700844
(13:0),3856050355.430819
(13:1),3856050355.430314
(13:2),3856050355.4458194
(13:3),3856050355.445974
(13:4),3856050355.6437025
(13:5),3856050355.6434317
(13:6),3856050355.7393823
(13:7),3856050355.739539
(14:0),3856050359.351865
(14:1),3856050359.351278
(14:2),3856050359.5259795
(14:3),3856050359.5317307
(14:4),3856050359.540979
(14:5),3856050359.554773
(14:6),3856050359.629689
(14:7),3856050359.6294346
(1:0),3856050307.3106008
(1:1),3856050307.3115687
(1:2),3856050307.327432
(1:3),3856050307.323682
(1:4),3856050307.6148977
(1:5),3856050307.609301
(1:6),3856050307.6224337
(1:7),3856050307.729071
(2:0),3856050311.6043534
(2:1),3856050311.604472
(2:2),3856050311.624643
(2:3),3856050311.6256223
(2:4),3856050311.705959
(2:5),3856050311.705851
(2:6),3856050311.720805
(2:7),3856050311.7207665
(3:0),3856050315.3578353
(3:1),3856050315.5049386
(3:2),3856050315.70791
(3:3),3856050315.7192574
(3:4),3856050315.731258
(3:5),3856050315.7439713
(3:6),3856050315.7955356
(3:7),3856050315.7953258
(4:0),3856050319.3420453
(4:1),3856050319.321719
(4:2),3856050319.382726
(4:3),3856050319.381706
(4:4),3856050319.490817
(4:5),3856050319.5118794
(4:6),3856050319.51188
(4:7),3856050319.7033157
(5:0),3856050323.320506
(5:1),3856050323.3251305
(5:2),3856050323.3364162
(5:3),3856050323.342191
(5:4),3856050323.381994
(5:5),3856050323.3823414
(5:6),3856050323.3984017
(5:7),3856050323.403126
(6:0),3856050327.335765
(6:1),3856050327.3356295
(6:2),3856050327.349355
(6:3),3856050327.35388
(6:4),3856050327.4066887
(6:5),3856050327.4115424
(6:6),3856050327.4747815
(6:7),3856050327.4752483
(7:0),3856050331.3351355
(7:1),3856050331.3350816
(7:2),3856050331.3797646
(7:3),3856050331.3791466
(7:4),3856050331.468342
(7:5),3856050331.474345
(7:6),3856050331.488883
(7:7),3856050331.4946437
(8:0),3856050335.463796
(8:1),3856050335.4703746
(8:2),3856050335.484547
(8:3),3856050335.4894037
(8:4),3856050335.5652304
(8:5),3856050335.5653954
(8:6),3856050335.5798297
(8:7),3856050335.5802784
(9:0),3856050339.3505034
(9:1),3856050339.345331
(9:2),3856050339.35918
(9:3),3856050339.3648367
(9:4),3856050339.455909
(9:5),3856050339.4567676
(9:6),3856050339.478413
(9:7),3856050339.4718075
